date,rating,review,reviewer,title,ymd
21-10-2022,5,My family & I recently stayed in ITC Maratha for 3 nights this month. We had booked an Executive suite but were upgraded to a Deluxe Suite as the key cards/lights weren't working during check in.  The room was spotlessly clean but the general upkeep of the rooms could be better. The hotel could do well with a kids' zone even a small one. ,Indrani D,3 nights family stay,221021
20-10-2022,5,Excellent location right near the airport. Staff is super accommodating to all kind of needs. Special shout out to Atharv from the Peshwa Cafe very courteous and empathetic to guests requirements. Comfortable stay with well appointed rooms. ,278vinays,Seamless Experience @ ITC Maratha,221020
19-10-2022,5,Excellent property. Beautiful rooms. Great decor. Very friendly staff esp mr. Lalit helped me at lot and people at reception were very helpful. Even they allowed me little late checkout. Overall great experience. Sunday lunch brunch was excellent.,ajaybudhwar,Excellent,221019
13-10-2022,5,Home away from home!,Shweta A,Home away from home!,221013
09-10-2022,4,Kudos to the front desk at ITC Maratha Sheraton Mumbai.,Journey520757,My Stay at ITC Maratha,221009
06-10-2022,5,We are very impressed with our stay. Staff at this property left no stone unturned to make us feel welcome. Thanks. Would particularly compliment Patil Chef and Gous at swimming pool . Also the team that maintains garden so well. Keep it up - will surely visit again.,sandeepFICOAce,Excellent stay,221006
06-10-2022,5,Stayed at ITC Maratha for a couple of days with my family for a leisure vacation at Mumbai. Had requested for adjacent rooms for my kids that was taken care of. On checkin I was upgraded to the pool view rooms. The service and the food were exceptionally good. The  food was deliciously tasty and special thanks to the whole culinary team at the Peshwa Pavilion.  Chef Sridhar Patra and Chef Pravin Patil were great hosts at the breakfast table we enjoyed some cooking tips exchange and they also took special care of my young son who loves food.  Thank you so much for making our stay so wonderful. The dinner buffet spread was also very lavish and the decor of Peshwa Pavilion is just too nice. Overall very nice stay and my family thoroughly enjoyed the experience. Just wanting to visit Mumbai again and stay there,yogender2019,Awesome stay at the ITC Maratha,221006
04-10-2022,5,Alwayz pleased n excited to stay at ITC because of its grandeur n exquisite architecture..the interior design the garden gym restaurants are all so well intricate.  I was greeted n guided at the helpdesk and the morning complimentary breakfast are well placed n planned only same every day..The gym is a very nice place to go as u have friendly Trainers like Ganesh Nitin.  The pool is slwayz busy as guests come in now n then.  I loved Dum phukt and the meals be it a Dum phukt biryani or kebabs with bread was a delicacy.,Arlu0411,4 day B'day Bash,221004
28-09-2022,5,Very welcoming and friendly staff. Our masseurs Leimi and Bimila were very professional and we thoroughly enjoyed our spa experience. We travel a lot and good relaxed spa experience always helps. One of the best experiences we have hd and would highly recommend Kaya Kalp at ITC Maratha. Do ask for Leimi or Bimila as they were wonderful,Rohitkt,Kaya Kalp Spa!,220928
28-09-2022,5,Great experience with helpful staff. Met Ganesh at the gym who was very concerned about my routine and also helpful with tips on exercise recovery and nutrition. Overall a wonderful experience and would highly recommend.,KrishanDhall,Nice facilities and great staff,220928
